,edad,hombre,est_sup,colegio_priv,gran_empresa,segundo_trab,ingbrut,urbano,pobre
28227,37.0,0,0,0,0,0,2780.3333333333335,1,0
28229,18.0,0,0,1,0,0,2780.3333333333335,1,0
28230,15.0,0,0,0,0,0,2780.3333333333335,1,0
28231,38.0,0,0,0,0,0,524.9166666666666,1,0
28232,14.0,1,0,0,0,0,524.9166666666666,1,0
28233,29.0,1,0,0,0,0,526.6666666666666,1,0
28235,60.0,1,0,1,1,1,2167.4166666666665,1,0
28236,52.0,0,0,0,0,0,2167.4166666666665,1,0
28238,22.0,0,0,1,0,0,2167.4166666666665,1,0
28239,37.0,1,0,0,0,0,658.3333333333334,1,1
28241,40.0,0,0,0,0,0,882.0833333333334,1,0
28242,40.0,1,0,0,0,0,882.0833333333334,1,0
28244,69.0,1,0,0,0,0,157.25,0,1
28245,36.0,1,0,0,0,0,157.25,0,1
28247,21.0,1,0,0,0,0,1593.4166666666667,0,0
28248,72.0,1,0,0,0,0,253.66666666666666,0,1
28249,62.0,0,0,0,0,0,253.66666666666666,0,1
28250,36.0,1,0,0,0,1,484.5833333333333,0,1
28251,35.0,0,0,0,0,0,484.5833333333333,0,1
28252,14.0,0,0,0,0,0,484.5833333333333,0,1
28253,59.0,0,0,0,0,1,580.00537109375,0,0
28254,35.0,1,0,0,0,0,500.25,0,1
28255,30.0,0,0,0,0,0,500.25,0,1
28256,53.0,0,0,0,0,0,198.75,0,0
28257,27.0,1,0,0,0,0,75.0,0,1
28258,33.0,0,0,0,0,0,75.0,0,1
28259,39.0,1,0,0,1,1,4924.5,0,0
28260,35.0,0,1,0,1,1,4924.5,0,0
28261,16.0,1,0,0,0,0,4924.5,0,0
28265,36.0,1,0,0,0,0,1008.8333333333334,0,0
28267,56.0,1,0,0,0,1,973.3333333333334,0,0
28268,34.0,1,0,0,0,1,445.0833333333333,0,0
28269,30.0,0,0,0,0,0,445.0833333333333,0,0
28270,38.0,1,0,0,0,1,747.25,0,0
28272,41.0,1,0,0,0,0,1688.0833333333333,0,0
28273,42.0,0,0,0,0,0,1688.0833333333333,0,0
28274,18.0,1,0,0,0,0,1688.0833333333333,0,0
28275,15.0,0,0,0,0,0,1688.0833333333333,0,0
28279,32.0,0,0,0,0,0,595.1666666666666,0,1
28280,64.0,1,0,0,0,1,3011.5,0,0
28281,60.0,0,0,0,0,0,3011.5,0,0
28282,25.0,1,0,0,0,0,775.5833333333334,0,0
28283,60.0,1,0,0,0,0,3742.25,0,0
28284,59.0,0,0,0,0,0,3742.25,0,0
28285,25.0,1,1,1,0,0,3742.25,0,0
28286,37.0,0,1,0,1,1,3742.25,0,0
28287,15.0,0,0,0,0,0,3742.25,0,0
28288,59.0,1,0,0,0,0,247.5,0,0
28292,67.0,1,1,0,1,0,5091.5,1,0
28294,36.0,1,1,0,0,0,1025.3333333333333,1,0
28296,51.0,1,0,1,0,0,2445.9583333333335,1,0
28297,24.0,1,0,1,0,1,2445.9583333333335,1,0
28301,38.0,0,0,0,0,0,4366.25,1,0
28302,49.0,1,1,1,1,0,4366.25,1,0
28304,40.0,1,0,1,0,0,4366.25,1,0
28305,78.0,1,0,0,0,0,1408.8333333333333,1,0
28306,63.0,0,0,0,0,1,172.58333333333334,1,1
28307,45.0,1,0,0,0,0,3252.5,1,0
28309,26.0,0,1,1,0,0,3252.5,1,0
28310,22.0,0,1,0,0,0,3252.5,1,0
28311,37.0,1,0,0,0,1,1797.6666666666667,1,1
28314,15.0,0,0,0,0,0,1797.6666666666667,1,1
28315,58.0,1,0,0,1,1,1856.5833333333333,1,0
28317,22.0,1,0,0,0,0,1856.5833333333333,1,0
28318,43.0,1,0,0,0,0,5825.416666666667,1,0
28319,39.0,0,1,1,0,0,5825.416666666667,1,0
28321,39.0,1,0,0,1,0,989.0833333333334,1,0
28324,38.0,1,0,0,0,0,1751.9166666666667,1,0
28325,32.0,1,0,0,0,0,1024.8333333333333,1,0
28327,54.0,1,0,0,0,1,1779.9166666666667,1,1
28329,18.0,1,0,0,0,0,1779.9166666666667,1,1
28330,31.0,1,0,0,0,0,979.6666666666666,1,0
28331,26.0,0,0,0,0,0,979.6666666666666,1,0
28334,53.0,0,1,1,0,0,1009.9166666666666,1,0
28337,59.0,0,1,1,0,0,2804.5833333333335,1,0
28339,82.0,1,0,0,0,0,2804.5833333333335,1,0
28341,22.0,1,0,0,1,0,2065.0,1,0
28342,25.0,0,0,0,0,0,2065.0,1,0
28343,56.0,1,1,1,0,0,2932.75,1,0
28345,25.0,1,0,1,1,0,2932.75,1,0
28346,64.0,1,1,0,1,0,7499.666666666667,1,0
28347,57.0,0,1,1,1,0,7499.666666666667,1,0
28351,29.0,1,1,1,1,0,7499.666666666667,1,0
28352,69.0,1,0,0,0,0,6842.666666666667,1,0
28353,60.0,0,1,1,1,0,6842.666666666667,1,0
28355,28.0,1,1,1,0,0,6842.666666666667,1,0
28356,30.0,0,1,1,1,1,7859.25,1,0
28358,47.0,0,1,1,1,0,5386.5,1,0
28361,25.0,1,0,1,1,0,5386.5,1,0
28363,52.0,1,1,1,0,0,25338.75,1,0
28364,43.0,0,1,1,0,0,25338.75,1,0
28367,50.0,0,1,1,0,0,2426.8333333333335,1,0
28368,22.0,0,1,0,0,0,2426.8333333333335,1,0
28369,65.0,1,1,1,1,0,13880.166666666666,1,0
28371,35.0,0,1,1,1,0,13880.166666666666,1,0
28373,57.0,0,1,1,0,1,2518.3333333333335,1,0
28374,49.0,0,1,1,0,0,2019.8333333333333,1,0
28376,33.0,1,1,1,1,0,6187.0,1,0
28377,50.0,0,1,0,0,0,1285.5833333333333,1,0
28378,43.0,1,0,0,0,0,1285.5833333333333,1,0
28379,53.0,1,1,0,1,0,2306.5,1,0
28383,56.0,0,0,0,0,0,5660.5,1,0
28384,57.0,1,0,0,0,0,5660.5,1,0
28385,29.0,0,0,0,0,0,5660.5,1,0
28386,23.0,0,1,1,0,0,5660.5,1,0
28387,28.0,1,0,1,0,0,5660.5,1,0
28388,58.0,0,1,1,0,0,2921.0833333333335,1,1
28391,50.0,0,1,0,0,0,2921.0833333333335,1,1
28393,53.0,1,0,0,1,0,2528.8333333333335,1,0
28395,55.0,1,0,0,1,0,910.0833333333334,1,0
28397,53.0,0,0,0,0,0,1005.75,1,1
28400,49.0,0,0,0,0,0,2334.0,1,0
28401,24.0,1,1,1,0,0,2334.0,1,0
28409,72.0,0,0,0,1,0,708.6666666666666,1,0
28410,72.0,0,0,0,1,0,787.0833333333334,1,0
28417,37.0,0,0,0,1,0,708.6666666666666,1,0
28418,37.0,0,0,0,1,0,787.0833333333334,1,0
